fecha,descripcion,categoria,monto,proveedor_id,nombre_proveedor,tipo_pago,numero_factura,notas
2024-01-01,Publicidad redes sociales,Marketing,3022.03,PRV008,Agua y Drenaje,Transferencia,F-1001,
2024-01-02,Suscripción Zoom,Software,251.34,PRV010,Microsoft,Cheque,F-1002,
2024-01-02,Licencia antivirus,Software,6833.08,PRV010,Microsoft,Cheque,F-1003,
2024-01-02,Mantenimiento equipo cómputo,Mantenimiento,6821.91,PRV001,Telmex,Transferencia,F-1004,
2024-01-02,Mantenimiento equipo cómputo,Mantenimiento,1368.86,PRV002,CFE,Cheque,F-1005,
2024-01-03,Limpieza oficinas,Mantenimiento,2248.29,PRV009,Capacita MX,Tarjeta crédito,F-1006,
2024-01-03,Mantenimiento equipo cómputo,Mantenimiento,4676.22,PRV001,Telmex,Tarjeta crédito,F-1007,
2024-01-04,Agua,Servicios,7121.14,PRV005,DHL Express,Transferencia,F-1008,
2024-01-05,Renta bodega almacén,Renta,23281.53,PRV011,Amazon AWS,Efectivo,F-1009,
2024-01-06,Certificación profesional,Capacitación,3566.44,PRV012,Papelera Nacional,Tarjeta crédito,F-1010,
2024-01-08,Bonos trimestrales,Nómina,26848.65,PRV006,Seguros Atlas,Transferencia,F-1011,
2024-01-08,Certificación profesional,Capacitación,2446.35,PRV002,CFE,Efectivo,F-1012,
2024-01-08,Mantenimiento equipo cómputo,Mantenimiento,7735.78,PRV008,Agua y Drenaje,Transferencia,F-1013,
2024-01-09,Servicio de internet,Servicios,5875.83,PRV011,Amazon AWS,Efectivo,F-1014,
2024-01-09,Renta bodega almacén,Renta,17981.4,PRV008,Agua y Drenaje,Tarjeta crédito,F-1015,
2024-01-09,Pago nómina quincenal,Nómina,8781.02,PRV002,CFE,Transferencia,F-1016,
2024-01-10,Renta bodega almacén,Renta,23934.85,PRV005,DHL Express,Cheque,F-1017,
2024-01-10,Combustible flotilla,Logística,5727.68,PRV002,CFE,Transferencia,F-1018,
2024-01-10,Artículos limpieza,Material oficina,5511.87,PRV004,Google Ads,Cheque,F-1019,
2024-01-11,Suscripción Zoom,Software,3243.5,PRV006,Seguros Atlas,Transferencia,F-1020,
2024-01-11,Gas,Servicios,6287.6,PRV003,Office Depot,Tarjeta crédito,F-1021,
2024-01-11,Pago aguinaldo,Nómina,11658.06,PRV005,DHL Express,Tarjeta crédito,F-1022,
2024-01-12,Reparación aire acondicionado,Mantenimiento,579.47,PRV004,Google Ads,Transferencia,F-1023,
2024-01-12,Renta oficina principal,Renta,17278.81,PRV001,Telmex,Transferencia,F-1024,
2024-01-13,Publicidad redes sociales,Marketing,3646.09,PRV003,Office Depot,Cheque,F-1025,
2024-01-15,Pago nómina quincenal,Nómina,11586.03,PRV012,Papelera Nacional,Cheque,F-1026,
2024-01-15,Artículos limpieza,Material oficina,933.46,PRV007,Inmobiliaria Centro,Tarjeta crédito,F-1027,
2024-01-16,Renta bodega almacén,Renta,12439.35,PRV006,Seguros Atlas,Tarjeta crédito,F-1028,
2024-01-16,Certificación profesional,Capacitación,5571.28,PRV003,Office Depot,Tarjeta crédito,F-1029,
2024-01-16,Papelería general,Material oficina,2219.05,PRV002,CFE,Efectivo,F-1030,
2024-01-16,Renta bodega almacén,Renta,13774.07,PRV012,Papelera Nacional,Efectivo,F-1031,
2024-01-17,Pago aguinaldo,Nómina,34111.66,PRV008,Agua y Drenaje,Tarjeta crédito,F-1032,
2024-01-17,Evento promocional,Marketing,5809.15,PRV005,DHL Express,Cheque,F-1033,
2024-01-18,Taller liderazgo,Capacitación,4919.46,PRV009,Capacita MX,Cheque,F-1034,
2024-01-18,Certificación profesional,Capacitación,1788.22,PRV002,CFE,Tarjeta crédito,F-1035,
2024-01-18,Licencia Microsoft 365,Software,954.53,PRV011,Amazon AWS,Transferencia,F-1036,
2024-01-19,Toner impresora,Material oficina,6370.05,PRV010,Microsoft,Transferencia,F-1037,
2024-01-19,Publicidad redes sociales,Marketing,7984.46,PRV008,Agua y Drenaje,Cheque,F-1038,
2024-01-20,Renta bodega almacén,Renta,15528.14,PRV008,Agua y Drenaje,Efectivo,F-1039,
2024-01-21,Servicio de internet,Servicios,2929.55,PRV006,Seguros Atlas,Efectivo,F-1040,
2024-01-22,Limpieza oficinas,Mantenimiento,2679.54,PRV008,Agua y Drenaje,Tarjeta crédito,F-1041,
2024-01-23,Seguro contra incendio,Seguros,2480.82,PRV006,Seguros Atlas,Cheque,F-1042,
2024-01-23,Carpetas y folders,Material oficina,5135.82,PRV009,Capacita MX,Tarjeta crédito,F-1043,
2024-01-24,Electricidad,Servicios,1206.9,PRV004,Google Ads,Tarjeta crédito,F-1044,
2024-01-24,Evento promocional,Marketing,7318.46,PRV007,Inmobiliaria Centro,Tarjeta crédito,F-1045,
2024-01-24,Campaña Google Ads,Marketing,4171.63,PRV012,Papelera Nacional,Tarjeta crédito,F-1046,
2024-01-25,Reparación aire acondicionado,Mantenimiento,6083.31,PRV009,Capacita MX,Efectivo,F-1047,
2024-01-26,Gas,Servicios,4191.75,PRV012,Papelera Nacional,Transferencia,F-1048,
2024-01-27,Suscripción Zoom,Software,3727.32,PRV011,Amazon AWS,Cheque,F-1049,
2024-01-29,Seguro responsabilidad civil,Seguros,2369.23,PRV002,CFE,Tarjeta crédito,F-1050,
2024-01-30,Renta bodega almacén,Renta,10504.88,PRV008,Agua y Drenaje,Tarjeta crédito,F-1051,
2024-01-30,Envío paquetería,Logística,2194.15,PRV002,CFE,Transferencia,F-1052,
2024-01-30,Renta bodega almacén,Renta,8382.1,PRV003,Office Depot,Efectivo,F-1053,
2024-01-30,Carpetas y folders,Material oficina,3374.21,PRV002,CFE,Transferencia,F-1054,
2024-01-31,Renta oficina principal,Renta,23781.82,PRV002,CFE,Tarjeta crédito,F-1055,
2024-02-01,Horas extra,Nómina,31816.05,PRV001,Telmex,Transferencia,F-1056,
2024-02-01,Campaña Google Ads,Marketing,4964.69,PRV002,CFE,Tarjeta crédito,F-1057,
2024-02-02,Evento promocional,Marketing,1571.65,PRV010,Microsoft,Tarjeta crédito,F-1058,
2024-02-02,Combustible flotilla,Logística,3342.02,PRV010,Microsoft,Cheque,F-1059,
2024-02-02,Combustible flotilla,Logística,4766.11,PRV006,Seguros Atlas,Tarjeta crédito,F-1060,
2024-02-03,Limpieza oficinas,Mantenimiento,6615.99,PRV008,Agua y Drenaje,Tarjeta crédito,F-1061,
2024-02-04,Pago aguinaldo,Nómina,7265.21,PRV002,CFE,Transferencia,F-1062,
2024-02-05,Renta oficina principal,Renta,18695.21,PRV001,Telmex,Efectivo,F-1063,
2024-02-05,Certificación profesional,Capacitación,1926.32,PRV007,Inmobiliaria Centro,Transferencia,F-1064,
2024-02-05,Carpetas y folders,Material oficina,908.57,PRV006,Seguros Atlas,Transferencia,F-1065,
2024-02-05,Servicio de internet,Servicios,4833.61,PRV009,Capacita MX,Transferencia,F-1066,
2024-02-06,Pago nómina quincenal,Nómina,27068.92,PRV004,Google Ads,Transferencia,F-1067,
2024-02-06,Certificación profesional,Capacitación,6501.19,PRV007,Inmobiliaria Centro,Transferencia,F-1068,
2024-02-06,Mantenimiento vehículos,Logística,2634.3,PRV010,Microsoft,Efectivo,F-1069,
2024-02-06,Limpieza oficinas,Mantenimiento,3563.11,PRV001,Telmex,Transferencia,F-1070,
2024-02-07,Licencia Microsoft 365,Software,257.34,PRV001,Telmex,Efectivo,F-1071,
2024-02-08,Taller liderazgo,Capacitación,2915.91,PRV001,Telmex,Efectivo,F-1072,
2024-02-08,Pago nómina quincenal,Nómina,16930.87,PRV011,Amazon AWS,Efectivo,F-1073,
2024-02-08,Envío paquetería,Logística,447.37,PRV006,Seguros Atlas,Tarjeta crédito,F-1074,
2024-02-09,Reparación aire acondicionado,Mantenimiento,4602.34,PRV006,Seguros Atlas,Efectivo,F-1075,
2024-02-11,Mantenimiento vehículos,Logística,7177.42,PRV003,Office Depot,Cheque,F-1076,
2024-02-12,Reparación aire acondicionado,Mantenimiento,1852.59,PRV003,Office Depot,Efectivo,F-1077,
2024-02-12,Evento promocional,Marketing,3315.26,PRV011,Amazon AWS,Efectivo,F-1078,
2024-02-12,Combustible flotilla,Logística,6394.52,PRV002,CFE,Cheque,F-1079,
2024-02-12,Taller liderazgo,Capacitación,2135.57,PRV012,Papelera Nacional,Cheque,F-1080,
