fecha,producto_id,nombre_producto,cantidad,precio_unitario,monto_total,cliente_id,categoria
2024-01-01,P001,Laptop HP ProBook 450,5,12181.11,60905.55,C012,Electrónica
2024-01-01,P005,Auriculares Sony WH-1000XM5,2,6614.85,13229.7,C012,Audio
2024-01-02,P003,Teclado Logitech MX Keys,7,2001.67,14011.69,C010,Periféricos
2024-01-02,P003,Teclado Logitech MX Keys,4,2101.12,8404.48,C004,Periféricos
2024-01-02,P001,Laptop HP ProBook 450,4,12770.02,51080.08,C009,Electrónica
2024-01-02,P018,Tablet Samsung Galaxy Tab,4,7163.43,28653.72,C007,Electrónica
2024-01-02,P009,Cable HDMI 2m,1,184.66,184.66,C013,Accesorios
2024-01-02,P006,Webcam Logitech C920,7,1771.25,12398.75,C012,Periféricos
2024-01-03,P007,Disco SSD Samsung 1TB,6,2112.49,12674.94,C013,Almacenamiento
2024-01-03,P013,Impresora HP LaserJet,6,4656.37,27938.22,C002,Impresión
2024-01-03,P020,Mochila para Laptop,1,1227.57,1227.57,C005,Accesorios
2024-01-04,P004,Mouse Logitech MX Master,7,1580.5,11063.5,C015,Periféricos
2024-01-04,P010,Hub USB-C 7 puertos,10,882.76,8827.6,C014,Accesorios
2024-01-04,P012,Escritorio Ajustable,4,12245.49,48981.96,C010,Mobiliario
2024-01-04,P002,Monitor Dell 27 pulgadas,4,5958.38,23833.52,C011,Electrónica
2024-01-04,P003,Teclado Logitech MX Keys,4,2176.96,8707.84,C014,Periféricos
2024-01-04,P013,Impresora HP LaserJet,8,4561.06,36488.48,C005,Impresión
2024-01-05,P006,Webcam Logitech C920,6,1747.71,10486.26,C006,Periféricos
2024-01-05,P009,Cable HDMI 2m,2,181.96,363.92,C012,Accesorios
2024-01-05,P006,Webcam Logitech C920,4,1739.41,6957.64,C009,Periféricos
2024-01-05,P013,Impresora HP LaserJet,9,4373.83,39364.47,C005,Impresión
2024-01-06,P002,Monitor Dell 27 pulgadas,1,5976.93,5976.93,C004,Electrónica
2024-01-07,P009,Cable HDMI 2m,4,187.44,749.76,C002,Accesorios
2024-01-08,P011,Silla Ergonómica Premium,8,8411.29,67290.32,C004,Mobiliario
2024-01-08,P015,UPS APC 1500VA,5,3663.06,18315.3,C003,Energía
2024-01-08,P018,Tablet Samsung Galaxy Tab,5,7377.85,36889.25,C009,Electrónica
2024-01-08,P014,Toner HP 26A,10,940.44,9404.4,C015,Consumibles
2024-01-08,P008,Memoria RAM 16GB DDR4,9,1399.09,12591.81,C003,Componentes
2024-01-08,P002,Monitor Dell 27 pulgadas,2,5598.65,11197.3,C014,Electrónica
2024-01-09,P014,Toner HP 26A,2,939.05,1878.1,C010,Consumibles
2024-01-09,P020,Mochila para Laptop,9,1170.17,10531.53,C008,Accesorios
2024-01-09,P018,Tablet Samsung Galaxy Tab,1,7329.8,7329.8,C014,Electrónica
